poradi,rocnik,rok,datum,misto,organizatori,pocet,graf,poznamka,zdroj
1,1,1992,,Rakovecké údolí,SPDP JRRT,60,60,První doložený ročník; v pracovním článku uváděn jako začátek tradice.,tabulka.docx / Základní informace / Dvacet let
2,2,1993,11. 6. – 13. 6.,Rakovecké údolí,SPDP JRRT; Bob Waschka; Tamara Dvořáková; Karel Makovský,100,100,Raná víkendová fáze.,tabulka.docx
3,3,1994,27. 5. – 29. 5.,Dobříš,SPDP JRRT; Filip Munz; Petr Macháček?; Daniela Binderová,50,50,Jeden z ročníků mimo Moravu; přesné místo je v pamětnickém zdroji nejisté.,tabulka.docx / jixipen-místa.txt
4,4,1995,26. 5. – 28. 5.,Rakovecké údolí,SPDP JRRT; Palča,100,100,Dochovaný rozsáhlý pamětnický report z pohledu Gondoru.,tabulka.docx / Dvacet let
5,5,1996,17. 5. – 19. 5.,Jelení louky / Hostýnské vrchy,SPDP JRRT; Filip Munz,170,170,Pamětnický soubor uvádí orientační souřadnice u rozcestí Pod Skalným.,tabulka.docx / jixipen-místa.txt
6,6,1997,2. 5. – 4. 5.,Rakovecké údolí,SPDP JRRT; Richard „Bobby“ Lastovecki,450,450,První velký skok účasti podle tabulkových dat.,tabulka.docx
7,7,1998,29. 5. – 31. 5.,Českomoravská vysočina,SPDP JRRT; Dan Soukup; Michal Valouch,330,330,Přesné místo není v pamětnickém zdroji spolehlivě vybavené; splývá s Olešnou.,tabulka.docx / jixipen-místa.txt
8,8A,1999,18. 6. – 20. 6.,Luteč mezi Brnem a Vyškovem,Jana „Melian“ Ehlerová,120,120,Paralelní/alternativní ročník označený 8A.,tabulka.docx
9,8,1999,,Vrané nad Vltavou,SPDP JRRT; Honza Vorlíček,90,90,Druhý ročník v témže roce; pamětnicky spojovaný s ulicí Zvolská.,tabulka.docx / jixipen-místa.txt
10,9,2000,29. 4. – 1. 5.,Olešná u Havlíčkova Brodu,SPDP JRRT; Lucka Šipkovská; Jakub „Drak“ Kočí,150,150,Začátek nástupu k větší kontinuitě na přelomu tisíciletí.,tabulka.docx
11,10,2001,,Křešice u Olbramovic – Špejchar,SPDP JRRT; Michael „Barbar“ Bronec; Dan Soukup,220,220,První doložený ročník špejcharské etapy.,tabulka.docx
12,11,2002,3. 5. – 5. 5.,Křešice u Olbramovic – Špejchar,SPDP JRRT; Tomáš „Logrus“ Rosa; Tomáš „Breeba“ Hejna; Jakub „Drak“ Kočí; Jana „Jixipen“ Syrovátková,430,430,Dochovaný report „Páni koní proti Pánu prstenů“.,tabulka.docx / Dvacet let
13,12,2003,8. 5. – 11. 5.,Křešice u Olbramovic – Špejchar,SPDP JRRT; Jana „Jixipen“ Syrovátková,680,680,Dochované propozice a reporty; poprvé po čtyřech letech měl být podle reportu Prsten zničen.,tabulka.docx / Dvacet let
14,13,2004,7. 5. – 9. 5.,Olbramovice bez Špejcharu,SPDP JRRT; Jana „Jixipen“ Syrovátková,1100,1100,Vrchol první dvacetileté statistiky; interní tabulka uvádí i pracovní údaj 1150.,tabulka.docx / tabulky.xlsx
15,14,2005,6. 5. – 8. 5.,"Tarnské panství, Beroun",SPDP JRRT & ASF; Jana „Jixipen“ Syrovátková,600,600,Přesun do Berouna; v pracovním textu začínají osobní vzpomínky současného autora.,tabulka.docx / Dvacet let / jixipen-místa.txt
16,15,2006,5. 5. – 8. 5.,Veverské Knínice,SPDP JRRT & ASF; Jana „Jixipen“ Syrovátková,470,470,První ročník ve Veverských Knínicích; začátek přebírání praktické organizace mladší generací.,tabulka.docx / Dvacet let
17,16,2007,11. 5. – 13. 5.,Veverské Knínice,SPDP JRRT & Moravian LARP; Jana „Jixipen“ Syrovátková; Michal „Mealtiner“ Truhlář,380,380,Formální propojení s Moravian LARP.,tabulka.docx
18,17,2008,8. 5. – 11. 5.,Veverské Knínice,SPDP JRRT & Moravian LARP; Jana „Jixipen“ Syrovátková; Michal „Mealtiner“ Truhlář; „Glaren“,360,360,Stabilizovaná knínická fáze.,tabulka.docx
19,18,2009,15. 5. – 17. 5.,Veverské Knínice,"Moravian LARP, o. s.; Michal „Mealtiner“ Truhlář; „Glaren“",274,274,Nejnižší bod po velkém boomu; podle interní tabulky vítěz „nikdo“.,tabulka.docx / tabulky.xlsx
20,19,2010,25. 6. – 27. 6.,Rakovecké údolí u Bukovinky,"Moravian LARP, o. s.; Michal „Mealtiner“ Truhlář; „Glaren“",350,350,Návrat k Rakoveckému údolí.,tabulka.docx
21,20,2011,24. 6. – 26. 6.,neuvedeno v tabulce,"Moravian LARP, o. s.; Michal „Mealtiner“ Truhlář; „Glaren“",odhad 400,400,Dvacátý ročník; v tabulce uvedeno jako odhad.,tabulka.docx
22,21,2012,,neuvedeno v interní tabulce; veřejné zdroje uvádějí Bitvu o Středozem,Michal „Mealtiner“ Truhlář; Jiří „Maňa“ Tomaňa; Martin „Skica“ S. / Moravian LARP,454 interně; 500 veřejně,454,Veřejná Larpová databáze uvádí 500 hráčů a jednodenní formát; interní tabulka 454.,tabulky.xlsx / Larpová databáze
23,22,2013,,neuvedeno v interní tabulce,Jakub „Maoren“ Šváb; Michal „Mealtiner“ Truhlář; Michal „Monty“ Stuchlý; Jakub „Eonwe“ Mahdal / Moravian LARP,356 interně; 300 veřejně,356,Veřejná Larpová databáze uvádí 300 hráčů a jednodenní formát; interní tabulka 356.,tabulky.xlsx / Larpová databáze
24,23,2014,,neuvedeno,neuvedeno v dostupných datech,164 registrací,164,"Interní tabulka výslovně uvádí: akce zrušena kvůli počasí. V publikované historii vykládat jako zrušený/poznamenaný ročník, ne jako běžnou účast.",tabulky.xlsx
25,24,2015,,neuvedeno,Radovan „Radis“ Saiss; Michal „Monty“ Stuchlý; Tomáš „Inzzi“ Varga; Michal „Mealtiner“ Truhlář / Moravian LARP,95 interně; 80 veřejně,95,Období restartu v menším měřítku.,tabulky.xlsx / Larpová databáze
26,25,2016,,neuvedeno,"Radovan „Radis“ Saiss; Michal „Mealtiner“ Truhlář; Michal „Monty“ Stuchlý; Kristýna Červová; Tomáš „Inzzi“ Varga / Moravian LARP, Korbel",178 interně; 200 veřejně,178,Po roce 2015 začíná růstová obnova.,tabulky.xlsx / Larpová databáze
27,26,2017,,neuvedeno,"Kristýna Červová; Ondřej „Špajda“ Špaček; Jiří Ševčík; Vladimír „Ozzyáš“ Rutar; Michal „Mealtiner“ Truhlář; Radovan „Radis“ Saiss; Tomáš „Inzzi“ Varga / Moravian LARP, Korbel",197 interně; 200 veřejně,197,Postupná stabilizace nového organizačního okruhu.,tabulky.xlsx / Larpová databáze
28,27,2018,,neuvedeno,"Tomáš „Inzzi“ Varga; Kristýna Červová; Jiří Ševčík; Michal „Mealtiner“ Truhlář; Radovan „Radis“ Saiss / Moravian LARP, Korbel",258 interně; 250 veřejně,258,Veřejné zdroje evidují třídenní akci se zhruba 250 hráči.,tabulky.xlsx / Larpová databáze
29,28,2019,,neuvedeno,Moravian LARP / Korbel – k ověření,211 interně,211,"Interní tabulka uvádí maximum životů 4; veřejná karta existuje, ale nebyla detailně stažena.",tabulky.xlsx / LARP.cz listing
30,29,2020,28. 8. – 31. 8.,Křtiny,Moravian LARP; Mealtiner – k ověření v detailu,289 interně; 350 veřejně,289,Pandemický ročník; veřejná Larpová databáze uvádí 350 hráčů.,tabulky.xlsx / Larpová databáze event
31,30,2021,27. 8. – 30. 8.,"Křtiny, louka mezi Křtinami a Bukovinou","Mealtiner; Moravian LARP, z. s.",475 interně; 350 na LARP.cz; 300 v Larpové databázi,475,"Výrazný rozdíl zdrojů; publikovat s poznámkou, že čísla rozlišují registrace/účast/kapacitu.",tabulky.xlsx / LARP.cz / Larpová databáze
32,31,2022,25. 8. – 28. 8.,"Křtiny, louka mezi Křtinami a Bukovinou","Mealtiner; Moravian LARP, z. s.",570,570,Finální počet účastníků doplněný z interních podkladů: 570.,uživatelem dodaná finální data počtu účastníků; LARP.cz pro termíny/místa
33,32,2023,24. 8. – 27. 8.,"Křtiny, louka mezi Křtinami a Bukovinou","Mealtiner; Moravian LARP, z. s.",523,523,Finální počet účastníků doplněný z interních podkladů: 523.,uživatelem dodaná finální data počtu účastníků; LARP.cz pro termíny/místa
34,33,2024,22. 8. – 25. 8.,"Křtiny, louka nad městem","Mealtiner; Moravian LARP, z. s.",513,513,Finální počet účastníků doplněný z interních podkladů: 513.,uživatelem dodaná finální data počtu účastníků; LARP.cz pro termíny/místa
